Rank,CBSA Code,Metro Area Name,State(s),Population (2025),Population (2024),Population (2020),5-Year Change,5-Year Growth %,Counties,CSA Code,CSA Title
1,35620,"New York-Newark-Jersey City, NY-NJ","New Jersey, New York","20,112,448","20,080,087","19,999,993","112,455",0.6%,22,408,"New York-Newark, NY-NJ-CT-PA"
2,31080,"Los Angeles-Long Beach-Anaheim, CA",California,"12,844,441","12,906,895","13,182,677","-338,236",-2.6%,2,348,"Los Angeles-Long Beach, CA"
3,16980,"Chicago-Naperville-Elgin, IL-IN","Illinois, Indiana","9,434,123","9,411,198","9,435,971","-1,848",0.0%,13,176,"Chicago-Naperville, IL-IN-WI"
4,19100,"Dallas-Fort Worth-Arlington, TX",Texas,"8,477,157","8,353,600","7,667,416","809,741",10.6%,11,206,"Dallas-Fort Worth, TX-OK"
5,26420,"Houston-Pasadena-The Woodlands, TX",Texas,"7,904,627","7,777,907","7,169,284","735,343",10.3%,10,288,"Houston-Pasadena, TX"
6,12060,"Atlanta-Sandy Springs-Roswell, GA",Georgia,"6,482,182","6,420,229","6,120,770","361,412",5.9%,29,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","District of Columbia, Maryland, Virginia, West Virginia","6,465,724","6,415,518","6,260,638","205,086",3.3%,23,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
8,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Florida,"6,391,072","6,399,981","6,133,159","257,913",4.2%,3,370,"Miami-Port St. Lucie-Fort Lauderdale, FL"
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Delaware, Maryland, New Jersey, Pennsylvania","6,329,118","6,313,158","6,242,164","86,954",1.4%,11,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
10,38060,"Phoenix-Mesa-Chandler, AZ",Arizona,"5,228,938","5,169,873","4,875,256","353,682",7.3%,2,429,"Phoenix-Mesa, AZ"
11,14460,"Boston-Cambridge-Newton, MA-NH","Massachusetts, New Hampshire","5,034,221","5,022,230","4,921,409","112,812",2.3%,7,148,"Boston-Worcester-Providence, MA-RI-NH"
12,40140,"Riverside-San Bernardino-Ontario, CA",California,"4,769,007","4,747,876","4,607,646","161,361",3.5%,2,348,"Los Angeles-Long Beach, CA"
13,41860,"San Francisco-Oakland-Fremont, CA",California,"4,630,041","4,623,434","4,745,853","-115,812",-2.4%,5,488,"San Jose-San Francisco-Oakland, CA"
14,19820,"Detroit-Warren-Dearborn, MI",Michigan,"4,390,913","4,377,045","4,385,353","5,560",0.1%,6,220,"Detroit-Warren-Ann Arbor, MI"
15,42660,"Seattle-Tacoma-Bellevue, WA",Washington,"4,161,883","4,118,815","4,027,814","134,069",3.3%,3,500,"Seattle-Tacoma, WA"
16,33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota, Wisconsin","3,790,295","3,760,895","3,694,131","96,164",2.6%,15,378,"Minneapolis-St. Paul, MN-WI"
17,45300,"Tampa-St. Petersburg-Clearwater, FL",Florida,"3,418,895","3,405,357","3,187,831","231,064",7.2%,4,,
18,41740,"San Diego-Chula Vista-Carlsbad, CA",California,"3,282,248","3,287,542","3,301,110","-18,862",-0.6%,1,,
19,19740,"Denver-Aurora-Centennial, CO",Colorado,"3,092,037","3,081,092","2,970,099","121,938",4.1%,10,216,"Denver-Aurora-Greeley, CO"
20,36740,"Orlando-Kissimmee-Sanford, FL",Florida,"2,957,672","2,919,982","2,680,430","277,242",10.3%,4,422,"Orlando-Lakeland-Deltona, FL"
21,16740,"Charlotte-Concord-Gastonia, NC-SC","North Carolina, South Carolina","2,938,830","2,884,708","2,668,342","270,488",10.1%,11,172,"Charlotte-Concord, NC-SC"
22,12580,"Baltimore-Columbia-Towson, MD",Maryland,"2,857,781","2,853,522","2,847,138","10,643",0.4%,7,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
23,41180,"St. Louis, MO-IL","Illinois, Missouri","2,814,421","2,811,394","2,819,811","-5,390",-0.2%,15,476,"St. Louis-St. Charles-Farmington, MO-IL"
24,41700,"San Antonio-New Braunfels, TX",Texas,"2,813,140","2,774,738","2,568,772","244,368",9.5%,8,484,"San Antonio-New Braunfels-Kerrville, TX"
25,12420,"Austin-Round Rock-San Marcos, TX",Texas,"2,620,945","2,567,149","2,300,172","320,773",13.9%,5,,
26,38900,"Portland-Vancouver-Hillsboro, OR-WA","Oregon, Washington","2,542,282","2,531,245","2,517,518","24,764",1.0%,7,440,"Portland-Vancouver-Salem, OR-WA"
27,40900,"Sacramento-Roseville-Folsom, CA",California,"2,477,274","2,459,807","2,401,737","75,537",3.1%,4,472,"Sacramento-Roseville, CA"
28,38300,"Pittsburgh, PA",Pennsylvania,"2,421,992","2,425,152","2,455,193","-33,201",-1.4%,8,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV"
29,29820,"Las Vegas-Henderson-North Las Vegas, NV",Nevada,"2,407,226","2,385,746","2,275,833","131,393",5.8%,1,332,"Las Vegas-Henderson, NV"
30,17140,"Cincinnati, OH-KY-IN","Indiana, Kentucky, Ohio","2,312,858","2,299,751","2,251,978","60,880",2.7%,15,178,"Cincinnati-Wilmington, OH-KY-IN"
31,28140,"Kansas City, MO-KS","Kansas, Missouri","2,270,682","2,253,287","2,195,241","75,441",3.4%,14,312,"Kansas City-Overland Park-Kansas City, MO-KS"
32,18140,"Columbus, OH",Ohio,"2,242,028","2,220,716","2,141,983","100,045",4.7%,10,198,"Columbus-Marion-Zanesville, OH"
33,26900,"Indianapolis-Carmel-Greenwood, IN",Indiana,"2,205,695","2,183,424","2,092,783","112,912",5.4%,11,294,"Indianapolis-Carmel-Muncie, IN"
34,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Tennessee,"2,197,416","2,162,758","2,021,837","175,579",8.7%,14,400,"Nashville-Davidson--Murfreesboro, TN"
35,17410,"Cleveland, OH",Ohio,"2,165,775","2,163,236","2,184,166","-18,391",-0.8%,6,184,"Cleveland-Akron-Canton, OH"
36,41940,"San Jose-Sunnyvale-Santa Clara, CA",California,"1,984,473","1,976,995","1,995,874","-11,401",-0.6%,2,488,"San Jose-San Francisco-Oakland, CA"
37,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC","North Carolina, Virginia","1,797,213","1,793,439","1,781,673","15,540",0.9%,18,545,"Virginia Beach-Chesapeake, VA-NC"
38,27260,"Jacksonville, FL",Florida,"1,785,500","1,759,347","1,613,022","172,478",10.7%,5,300,"Jacksonville-Kingsland-Palatka, FL-GA"
39,39300,"Providence-Warwick, RI-MA","Massachusetts, Rhode Island","1,708,161","1,701,280","1,673,210","34,951",2.1%,6,148,"Boston-Worcester-Providence, MA-RI-NH"
40,39580,"Raleigh-Cary, NC",North Carolina,"1,595,720","1,558,927","1,417,382","178,338",12.6%,3,450,"Raleigh-Durham-Cary, NC"
41,33340,"Milwaukee-Waukesha, WI",Wisconsin,"1,575,010","1,572,498","1,574,549",461,0.0%,4,376,"Milwaukee-Racine-Waukesha, WI"
42,36420,"Oklahoma City, OK",Oklahoma,"1,512,813","1,499,068","1,430,019","82,794",5.8%,7,416,"Oklahoma City-Shawnee, OK"
43,31140,"Louisville/Jefferson County, KY-IN","Indiana, Kentucky","1,402,509","1,395,134","1,362,981","39,528",2.9%,12,350,"Louisville/Jefferson County--Elizabethtown, KY-IN"
44,40060,"Richmond, VA",Virginia,"1,389,338","1,374,727","1,316,683","72,655",5.5%,17,,
45,32820,"Memphis, TN-MS-AR","Arkansas, Mississippi, Tennessee","1,341,412","1,345,629","1,346,138","-4,726",-0.4%,9,368,"Memphis-Clarksdale-Forrest City, TN-MS-AR"
46,41620,"Salt Lake City-Murray, UT",Utah,"1,308,377","1,302,282","1,260,358","48,019",3.8%,2,482,"Salt Lake City-Provo-Orem, UT-ID"
47,23420,"Fresno, CA",California,"1,203,383","1,199,830","1,165,959","37,424",3.2%,2,260,"Fresno-Hanford-Corcoran, CA"
48,13820,"Birmingham, AL",Alabama,"1,197,766","1,194,316","1,181,801","15,965",1.4%,7,142,"Birmingham-Cullman-Talladega, AL"
49,24340,"Grand Rapids-Wyoming-Kentwood, MI",Michigan,"1,183,645","1,175,992","1,151,530","32,115",2.8%,5,266,"Grand Rapids-Wyoming, MI"
50,25540,"Hartford-West Hartford-East Hartford, CT",Connecticut,"1,171,426","1,166,241","1,137,300","34,126",3.0%,2,405,"New Haven-Hartford-Waterbury, CT"
51,15380,"Buffalo-Cheektowaga, NY",New York,"1,155,653","1,157,163","1,164,609","-8,956",-0.8%,2,160,"Buffalo-Cheektowaga-Olean, NY"
52,46060,"Tucson, AZ",Arizona,"1,074,685","1,073,456","1,045,245","29,440",2.8%,1,536,"Tucson-Nogales, AZ"
53,46140,"Tulsa, OK",Oklahoma,"1,069,273","1,061,080","1,017,349","51,924",5.1%,7,538,"Tulsa-Bartlesville-Muskogee, OK"
54,40380,"Rochester, NY",New York,"1,056,149","1,055,265","1,063,676","-7,527",-0.7%,5,464,"Rochester-Batavia-Seneca Falls, NY"
55,24860,"Greenville-Anderson-Greer, SC",South Carolina,"1,014,101","999,627","930,749","83,352",9.0%,4,273,"Greenville-Spartanburg-Anderson, SC"
56,36540,"Omaha, NE-IA","Iowa, Nebraska","1,009,836","1,000,266","969,154","40,682",4.2%,8,420,"Omaha-Fremont, NE-IA"
57,46520,"Urban Honolulu, HI",Hawaii,"988,703","990,142","1,012,334","-23,631",-2.3%,1,,
58,14860,"Bridgeport-Stamford-Danbury, CT",Connecticut,"978,179","974,112","943,100","35,079",3.7%,2,408,"New York-Newark, NY-NJ-CT-PA"
59,35380,"New Orleans-Metairie, LA",Louisiana,"970,849","973,384","1,005,404","-34,555",-3.4%,7,406,"New Orleans-Metairie-Slidell, LA-MS"
60,28940,"Knoxville, TN",Tennessee,"968,137","959,488","906,075","62,062",6.8%,9,315,"Knoxville-Morristown-Sevierville, TN"
61,35840,"North Port-Bradenton-Sarasota, FL",Florida,"948,158","934,945","837,884","110,274",13.2%,2,412,"North Port-Bradenton, FL"
62,12540,"Bakersfield-Delano, CA",California,"927,068","924,648","905,960","21,108",2.3%,1,,
63,10740,"Albuquerque, NM",New Mexico,"925,279","924,628","917,692","7,587",0.8%,4,105,"Albuquerque-Santa Fe-Los Alamos, NM"
64,32580,"McAllen-Edinburg-Mission, TX",Texas,"921,549","913,612","872,753","48,796",5.6%,1,365,"McAllen-Edinburg, TX"
65,10580,"Albany-Schenectady-Troy, NY",New York,"915,835","911,532","898,629","17,206",1.9%,5,104,"Albany-Schenectady, NY"
66,16700,"Charleston-North Charleston, SC",South Carolina,"889,263","874,088","803,468","85,795",10.7%,3,,
67,12940,"Baton Rouge, LA",Louisiana,"888,699","884,447","870,264","18,435",2.1%,10,132,"Baton Rouge-Hammond, LA"
68,49340,"Worcester, MA",Massachusetts,"888,502","883,722","857,028","31,474",3.7%,1,148,"Boston-Worcester-Providence, MA-RI-NH"
69,10900,"Allentown-Bethlehem-Easton, PA-NJ","New Jersey, Pennsylvania","887,615","884,157","861,454","26,161",3.0%,4,106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ"
70,21340,"El Paso, TX",Texas,"881,291","883,344","869,771","11,520",1.3%,2,238,"El Paso-Las Cruces, TX-NM"
71,17900,"Columbia, SC",South Carolina,"879,918","871,029","830,251","49,667",6.0%,6,192,"Columbia-Sumter-Orangeburg, SC"
72,15980,"Cape Coral-Fort Myers, FL",Florida,"875,607","861,667","765,575","110,032",14.4%,1,163,"Cape Coral-Fort Myers-Naples, FL"
73,29460,"Lakeland-Winter Haven, FL",Florida,"874,790","851,434","730,148","144,642",19.8%,1,422,"Orlando-Lakeland-Deltona, FL"
74,14260,"Boise City, ID",Idaho,"864,243","845,389","770,194","94,049",12.2%,5,147,"Boise City-Mountain Home-Ontario, ID-OR"
75,37100,"Oxnard-Thousand Oaks-Ventura, CA",California,"830,851","833,431","843,793","-12,942",-1.5%,1,348,"Los Angeles-Long Beach, CA"
76,19430,"Dayton-Kettering-Beavercreek, OH",Ohio,"826,554","820,950","814,230","12,324",1.5%,3,212,"Dayton-Springfield-Kettering, OH"
77,44700,"Stockton-Lodi, CA",California,"823,815","817,149","780,618","43,197",5.5%,1,488,"San Jose-San Francisco-Oakland, CA"
78,24660,"Greensboro-High Point, NC",North Carolina,"805,945","799,545","774,328","31,617",4.1%,3,268,"Greensboro--Winston-Salem--High Point, NC"
79,17820,"Colorado Springs, CO",Colorado,"781,796","777,099","758,467","23,329",3.1%,2,,
80,30780,"Little Rock-North Little Rock-Conway, AR",Arkansas,"777,607","772,588","748,989","28,618",3.8%,6,340,"Little Rock-North Little Rock, AR"
81,39340,"Provo-Orem-Lehi, UT",Utah,"773,426","758,992","675,397","98,029",14.5%,2,482,"Salt Lake City-Provo-Orem, UT-ID"
82,19780,"Des Moines-West Des Moines, IA",Iowa,"758,539","750,777","711,197","47,342",6.7%,6,218,"Des Moines-West Des Moines-Ames, IA"
83,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Florida,"746,933","737,391","671,822","75,111",11.2%,2,422,"Orlando-Lakeland-Deltona, FL"
84,28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",New York,"718,377","714,344","697,282","21,095",3.0%,2,408,"New York-Newark, NY-NJ-CT-PA"
85,49180,"Winston-Salem, NC",North Carolina,"712,206","705,337","676,371","35,835",5.3%,5,268,"Greensboro--Winston-Salem--High Point, NC"
86,31540,"Madison, WI",Wisconsin,"709,685","705,542","681,904","27,781",4.1%,4,357,"Madison-Janesville-Beloit, WI"
87,10420,"Akron, OH",Ohio,"701,780","700,152","701,686",94,0.0%,2,184,"Cleveland-Akron-Canton, OH"
88,36260,"Ogden, UT",Utah,"672,784","667,789","639,140","33,644",5.3%,3,482,"Salt Lake City-Provo-Orem, UT-ID"
89,37340,"Palm Bay-Melbourne-Titusville, FL",Florida,"663,982","656,254","608,765","55,217",9.1%,1,,
90,48620,"Wichita, KS",Kansas,"663,809","659,504","648,556","15,253",2.4%,4,556,"Wichita-Arkansas City-Winfield, KS"
91,45060,"Syracuse, NY",New York,"652,273","653,548","660,808","-8,535",-1.3%,3,532,"Syracuse-Auburn, NY"
92,12260,"Augusta-Richmond County, GA-SC","Georgia, South Carolina","641,231","635,550","612,228","29,003",4.7%,7,,
93,20500,"Durham-Chapel Hill, NC",North Carolina,"625,485","618,157","582,060","43,425",7.5%,4,450,"Raleigh-Durham-Cary, NC"
94,22220,"Fayetteville-Springdale-Rogers, AR",Arkansas,"622,177","607,433","549,908","72,269",13.1%,3,,
95,25420,"Harrisburg-Carlisle, PA",Pennsylvania,"617,427","614,139","592,775","24,652",4.2%,3,276,"Harrisburg-York-Lebanon, PA"
96,27140,"Jackson, MS",Mississippi,"609,847","608,497","618,845","-8,998",-1.5%,8,298,"Jackson-Vicksburg-Brookhaven, MS"
97,44060,"Spokane-Spokane Valley, WA",Washington,"608,012","604,663","587,729","20,283",3.5%,2,518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
98,45780,"Toledo, OH",Ohio,"599,376","599,402","605,724","-6,348",-1.0%,3,,
99,16860,"Chattanooga, TN-GA","Georgia, Tennessee","594,530","589,864","564,631","29,899",5.3%,6,174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
100,35300,"New Haven, CT",Connecticut,"578,741","577,538","564,449","14,292",2.5%,1,405,"New Haven-Hartford-Waterbury, CT"
101,39900,"Reno, NV",Nevada,"578,734","573,341","551,300","27,434",5.0%,3,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA"
102,38860,"Portland-South Portland, ME",Maine,"577,635","573,465","552,591","25,044",4.5%,3,438,"Portland-Lewiston-South Portland, ME"
103,42540,"Scranton--Wilkes-Barre, PA",Pennsylvania,"574,418","573,173","566,757","7,661",1.4%,3,,
104,38940,"Port St. Lucie, FL",Florida,"568,721","556,794","490,109","78,612",16.0%,2,370,"Miami-Port St. Lucie-Fort Lauderdale, FL"
105,29540,"Lancaster, PA",Pennsylvania,"563,159","562,062","552,819","10,340",1.9%,1,,
106,33700,"Modesto, CA",California,"557,719","557,372","553,702","4,017",0.7%,1,488,"San Jose-San Francisco-Oakland, CA"
107,26620,"Huntsville, AL",Alabama,"556,444","542,122","494,708","61,736",12.5%,2,290,"Huntsville-Decatur-Albertville, AL-TN"
108,37860,"Pensacola-Ferry Pass-Brent, FL",Florida,"544,949","539,843","511,571","33,378",6.5%,2,,
109,30460,"Lexington-Fayette, KY",Kentucky,"535,174","530,816","517,431","17,743",3.4%,6,336,"Lexington-Fayette--Richmond--Frankfort, KY"
110,28660,"Killeen-Temple, TX",Texas,"511,497","506,188","477,213","34,284",7.2%,3,,
111,44180,"Springfield, MO",Missouri,"500,694","496,363","476,379","24,315",5.1%,5,,
112,48900,"Wilmington, NC",North Carolina,"492,772","480,374","425,198","67,574",15.9%,3,,
113,42220,"Santa Rosa-Petaluma, CA",California,"486,444","485,363","488,514","-2,070",-0.4%,1,,
114,47300,"Visalia, CA",California,"485,146","483,851","473,915","11,231",2.4%,1,,
115,29620,"Lansing-East Lansing, MI",Michigan,"479,722","476,759","473,347","6,375",1.3%,3,330,"Lansing-East Lansing-Owosso, MI"
116,49620,"York-Hanover, PA",Pennsylvania,"473,197","469,986","456,725","16,472",3.6%,1,276,"Harrisburg-York-Lebanon, PA"
117,23060,"Fort Wayne, IN",Indiana,"466,258","462,866","448,605","17,653",3.9%,3,258,"Fort Wayne-Huntington-Auburn, IN"
118,44140,"Springfield, MA",Massachusetts,"464,338","463,418","463,651",687,0.1%,1,521,"Springfield-Amherst Town-Northampton, MA"
119,47930,"Waterbury-Shelton, CT",Connecticut,"463,349","461,480","448,993","14,356",3.2%,1,405,"New Haven-Hartford-Waterbury, CT"
120,46700,"Vallejo, CA",California,"455,376","455,076","452,895","2,481",0.5%,1,488,"San Jose-San Francisco-Oakland, CA"
121,18580,"Corpus Christi, TX",Texas,"451,191","450,145","446,323","4,868",1.1%,3,204,"Corpus Christi-Kingsville-Alice, TX"
122,41420,"Salem, OR",Oregon,"445,814","443,423","434,267","11,547",2.7%,2,440,"Portland-Vancouver-Salem, OR-WA"
123,36100,"Ocala, FL",Florida,"442,660","427,995","377,432","65,228",17.3%,1,,
124,42200,"Santa Maria-Santa Barbara, CA",California,"442,065","443,081","448,325","-6,260",-1.4%,1,,
125,39740,"Reading, PA",Pennsylvania,"440,072","438,379","428,651","11,421",2.7%,1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
126,42340,"Savannah, GA",Georgia,"438,314","434,036","405,341","32,973",8.1%,3,496,"Savannah-Hinesville-Statesboro, GA"
127,15180,"Brownsville-Harlingen, TX",Texas,"433,946","432,952","421,504","12,442",3.0%,1,154,"Brownsville-Harlingen-Raymondville, TX"
128,41500,"Salinas, CA",California,"433,729","433,447","440,493","-6,764",-1.5%,1,,
129,31700,"Manchester-Nashua, NH",New Hampshire,"433,415","430,442","422,902","10,513",2.5%,1,148,"Boston-Worcester-Providence, MA-RI-NH"
130,25060,"Gulfport-Biloxi, MS",Mississippi,"431,329","427,464","416,648","14,681",3.5%,4,,
131,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",South Carolina,"427,551","414,307","353,774","73,777",20.9%,1,396,"Myrtle Beach-Conway, SC"
132,29180,"Lafayette, LA",Louisiana,"423,758","420,683","408,235","15,523",3.8%,4,318,"Lafayette-New Iberia-Opelousas, LA"
133,49660,"Youngstown-Warren, OH",Ohio,"423,678","424,591","429,670","-5,992",-1.4%,2,566,"Youngstown-Warren-Salem, OH"
134,11700,"Asheville, NC",North Carolina,"422,345","422,979","407,559","14,786",3.6%,3,120,"Asheville-Waynesville-Brevard, NC"
135,34940,"Naples-Marco Island, FL",Florida,"417,131","416,722","377,327","39,804",10.5%,1,163,"Cape Coral-Fort Myers-Naples, FL"
136,33660,"Mobile, AL",Alabama,"411,658","412,193","414,414","-2,756",-0.7%,1,380,"Mobile-Daphne-Fairhope, AL"
137,43900,"Spartanburg, SC",South Carolina,"407,656","396,728","356,543","51,113",14.3%,2,273,"Greenville-Spartanburg-Anderson, SC"
138,11260,"Anchorage, AK",Alaska,"405,821","404,623","398,391","7,430",1.9%,2,,
139,22420,"Flint, MI",Michigan,"401,093","401,288","405,746","-4,653",-1.1%,1,220,"Detroit-Warren-Ann Arbor, MI"
140,15940,"Canton-Massillon, OH",Ohio,"400,246","399,807","401,237",-991,-0.2%,2,184,"Cleveland-Akron-Canton, OH"
141,13140,"Beaumont-Port Arthur, TX",Texas,"399,310","399,102","397,257","2,053",0.5%,3,,
142,45940,"Trenton-Princeton, NJ",New Jersey,"399,289","397,329","386,434","12,855",3.3%,1,408,"New York-Newark, NY-NJ-CT-PA"
143,45220,"Tallahassee, FL",Florida,"397,442","396,048","385,672","11,770",3.1%,4,533,"Tallahassee-Bainbridge, FL-GA"
144,22180,"Fayetteville, NC",North Carolina,"395,412","392,907","389,230","6,182",1.6%,2,246,"Fayetteville-Lumberton-Pinehurst, NC"
145,33860,"Montgomery, AL",Alabama,"388,747","387,933","385,406","3,341",0.9%,4,388,"Montgomery-Selma, AL"
146,43340,"Shreveport-Bossier City, LA",Louisiana,"383,474","383,764","392,511","-9,037",-2.3%,3,508,"Shreveport-Bossier City-Minden, LA"
147,21660,"Eugene-Springfield, OR",Oregon,"381,584","382,081","384,242","-2,658",-0.7%,1,,
148,19340,"Davenport-Moline-Rock Island, IA-IL","Illinois, Iowa","380,452","379,916","383,767","-3,315",-0.9%,4,209,"Davenport-Moline, IA-IL"
149,24540,"Greeley, CO",Colorado,"378,426","371,280","331,434","46,992",14.2%,1,216,"Denver-Aurora-Greeley, CO"
150,22660,"Fort Collins-Loveland, CO",Colorado,"377,292","374,200","359,942","17,350",4.8%,1,,
151,25860,"Hickory-Lenoir-Morganton, NC",North Carolina,"376,890","373,361","365,142","11,748",3.2%,4,172,"Charlotte-Concord, NC-SC"
152,12100,"Atlantic City-Hammonton, NJ",New Jersey,"372,047","372,561","369,221","2,826",0.8%,2,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
153,11460,"Ann Arbor, MI",Michigan,"370,214","368,956","371,814","-1,600",-0.4%,1,220,"Detroit-Warren-Ann Arbor, MI"
154,31180,"Lubbock, TX",Texas,"368,431","364,664","352,143","16,288",4.6%,6,352,"Lubbock-Plainview, TX"
155,26580,"Huntington-Ashland, WV-KY-OH","Kentucky, Ohio, West Virginia","365,965","367,055","375,713","-9,748",-2.6%,8,170,"Charleston-Huntington-Ashland, WV-OH-KY"
156,37900,"Peoria, IL",Illinois,"363,505","363,561","368,305","-4,800",-1.3%,5,427,"Peoria-Canton, IL"
157,23540,"Gainesville, FL",Florida,"359,036","357,221","340,722","18,314",5.4%,3,264,"Gainesville-Lake City, FL"
158,30700,"Lincoln, NE",Nebraska,"352,081","349,231","340,802","11,279",3.3%,2,339,"Lincoln-Beatrice, NE"
159,17300,"Clarksville, TN-KY","Kentucky, Tennessee","349,001","346,603","321,823","27,178",8.4%,4,,
160,40420,"Rockford, IL",Illinois,"337,242","336,491","338,283","-1,041",-0.3%,2,466,"Rockford-Freeport-Rochelle, IL"
161,24580,"Green Bay, WI",Wisconsin,"336,756","335,026","328,581","8,175",2.5%,3,267,"Green Bay-Shawano, WI"
162,14500,"Boulder, CO",Colorado,"328,560","329,485","330,982","-2,422",-0.7%,1,216,"Denver-Aurora-Greeley, CO"
163,17980,"Columbus, GA-AL","Alabama, Georgia","324,830","324,393","329,195","-4,365",-1.3%,7,194,"Columbus-Auburn-Opelika, GA-AL"
164,43780,"South Bend-Mishawaka, IN-MI","Indiana, Michigan","324,538","324,469","324,239",299,0.1%,2,515,"South Bend-Elkhart-Mishawaka, IN-MI"
165,28420,"Kennewick-Richland, WA",Washington,"324,334","320,317","304,545","19,789",6.5%,2,314,"Kennewick-Richland-Walla Walla, WA"
166,40220,"Roanoke, VA",Virginia,"316,547","316,291","315,249","1,298",0.4%,6,,
167,25180,"Hagerstown-Martinsburg, MD-WV","Maryland, West Virginia","315,280","310,936","294,478","20,802",7.1%,3,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
168,18880,"Crestview-Fort Walton Beach-Destin, FL",Florida,"315,098","310,201","287,981","27,117",9.4%,2,,
169,28700,"Kingsport-Bristol, TN-VA","Tennessee, Virginia","314,834","314,087","307,779","7,055",2.3%,5,304,"Johnson City-Kingsport-Bristol, TN-VA"
170,43620,"Sioux Falls, SD-MN","Minnesota, South Dakota","314,638","309,220","287,378","27,260",9.5%,5,,
171,47380,"Waco, TX",Texas,"308,807","307,067","296,386","12,421",4.2%,3,,
172,36500,"Olympia-Lacey-Tumwater, WA",Washington,"304,261","302,132","296,013","8,248",2.8%,1,500,"Seattle-Tacoma, WA"
173,30980,"Longview, TX",Texas,"297,315","296,451","286,412","10,903",3.8%,4,,
174,32900,"Merced, CA",California,"297,260","296,807","282,895","14,365",5.1%,1,488,"San Jose-San Francisco-Oakland, CA"
175,17780,"College Station-Bryan, TX",Texas,"287,476","286,095","268,973","18,503",6.9%,3,,
176,46540,"Utica-Rome, NY",New York,"285,611","286,660","291,308","-5,697",-2.0%,2,,
177,35980,"Norwich-New London-Willimantic, CT",Connecticut,"284,015","283,171","278,383","5,632",2.0%,1,405,"New Haven-Hartford-Waterbury, CT"
178,14740,"Bremerton-Silverdale-Port Orchard, WA",Washington,"283,374","280,728","275,811","7,563",2.7%,1,500,"Seattle-Tacoma, WA"
179,42020,"San Luis Obispo-Paso Robles, CA",California,"282,367","282,153","282,257",110,0.0%,1,,
180,46220,"Tuscaloosa, AL",Alabama,"281,850","281,631","274,029","7,821",2.9%,4,,
